position,team,played,won,drawn,lost,pf,pa,pd,bp,points,highlight
1,Market Harborough,16,14,1,1,751,195,556,15,73,false
2,Northampton Old Scouts,16,13,0,3,628,341,287,13,66,false
3,Broadstreet,16,12,0,4,591,336,255,13,61,true
4,Bedford Athletic,16,12,0,4,505,424,81,11,59,false
5,Peterborough,16,9,1,6,588,370,218,13,51,false
6,Stamford,16,7,2,7,424,447,-23,12,44,false
7,Kettering,16,8,0,8,448,358,90,10,42,false
8,Oadby Wyggestonians,16,5,1,10,374,540,-166,8,30,false
9,Olney,16,4,0,12,396,556,-160,12,28,false
10,Daventry,16,4,1,11,320,584,-264,7,25,false
11,Old Coventrians,16,4,0,12,338,644,-306,9,20,false
12,Wellingborough,16,1,0,15,214,782,-568,3,7,false
